,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
48,48,0.3657289002557545,2023-04-05 22:25:07.457690,2023-04-05 22:25:22.831055,0 days 00:00:15.373365,0.09552757641479354,271,39,107,2.255697855474426,7.497494750368698,4.128982829314198,COMPLETE
49,49,0.0,2023-04-05 22:25:22.831426,2023-04-05 22:26:55.766265,0 days 00:01:32.934839,0.01968902934874313,245,31,295,0.020697024301198352,8.16672451529629,6.477459578773872,COMPLETE
50,50,0.4682438192668372,2023-04-05 22:26:55.766800,2023-04-05 22:27:03.689284,0 days 00:00:07.922484,0.15009421637144593,219,28,127,1.2649974587568948,6.5709407713652315,5.340319202430516,COMPLETE
51,51,0.48749644785450413,2023-04-05 22:27:03.689801,2023-04-05 22:27:12.565480,0 days 00:00:08.875679,0.1484960803136533,238,25,94,0.3047861477698819,6.854453934271298,3.8979665197869307,COMPLETE
52,52,0.6192100028417163,2023-04-05 22:27:12.565965,2023-04-05 22:27:42.057487,0 days 00:00:29.491522,0.04779827550420708,238,22,102,0.43095012514259523,7.340828582281948,4.252728706292623,COMPLETE
53,53,0.5365870986075589,2023-04-05 22:27:42.057955,2023-04-05 22:28:11.292461,0 days 00:00:29.234506,0.04580223011415825,230,23,87,0.8577435197251495,7.481903072131878,4.67166733939223,COMPLETE
54,54,0.5802074452969593,2023-04-05 22:28:11.292926,2023-04-05 22:30:54.820263,0 days 00:02:43.527337,0.01023645690495547,208,21,118,0.4296544281074612,7.288645031413684,4.948532078154336,COMPLETE
55,55,0.5269252628587667,2023-04-05 22:30:54.820627,2023-04-05 22:31:11.037912,0 days 00:00:16.217285,0.0852818035851874,242,27,45,1.2269683409066365,8.591463834460567,3.8270262509379798,COMPLETE
56,56,0.0341716396703609,2023-04-05 22:31:11.038401,2023-04-05 22:31:16.011319,0 days 00:00:04.972918,0.25704255587634534,235,22,26,0.8262382398204648,5.766945680249272,4.407933170975576,COMPLETE
57,57,0.5460358056265985,2023-04-05 22:31:16.011678,2023-04-05 22:31:42.487339,0 days 00:00:26.475661,0.047806673970932176,226,32,104,0.28458911357854766,7.813677288399691,3.221191057883388,COMPLETE
58,58,0.45339585109406083,2023-04-05 22:31:42.487673,2023-04-05 22:31:53.555458,0 days 00:00:11.067785,0.12266055159835318,247,29,88,1.7058290751868375,7.395173189374804,5.136864107551489,COMPLETE
59,59,0.46810173344700196,2023-04-05 22:31:53.555784,2023-04-05 22:32:01.236813,0 days 00:00:07.681029,0.1829095520485609,255,26,51,1.040012789830113,6.617561524571478,4.07269577232892,COMPLETE
60,60,0.5119352088661551,2023-04-05 22:32:01.237296,2023-04-05 22:32:15.067189,0 days 00:00:13.829893,0.09137327443643217,222,24,122,0.7231840883211516,6.451253643297432,4.430473381762514,COMPLETE
61,61,0.5704035237283319,2023-04-05 22:32:15.067674,2023-04-05 22:32:23.381160,0 days 00:00:08.313486,0.16074951064805765,239,26,98,0.35227722329217004,6.989477808941169,4.033775069727093,COMPLETE
62,62,0.5850383631713555,2023-04-05 22:32:23.381515,2023-04-05 22:33:02.573050,0 days 00:00:39.191535,0.036221658684251104,239,23,110,0.5039934030144382,7.329592178745272,3.2900077121593894,COMPLETE
63,63,0.48763853367433935,2023-04-05 22:33:02.573381,2023-04-05 22:33:13.279967,0 days 00:00:10.706586,0.1345495896089903,263,28,73,1.0806485473393286,7.109137646956517,3.653085218951909,COMPLETE
64,64,0.43918726911054273,2023-04-05 22:33:13.280317,2023-04-05 22:33:27.359221,0 days 00:00:14.078904,0.09556425325462714,236,25,147,0.23782491448820126,7.692518291833435,4.665066921777401,COMPLETE
