,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
112,112,0.5705456095481671,2023-04-07 18:41:12.808475,2023-04-07 18:41:19.040786,0 days 00:00:06.232311,0.3113157087416616,0.17659372430155365,0.24297034266544487,0.5484148419637929,277,19,114,0.7571275022021712,5.7200975262262,3.5282292875531382,COMPLETE
113,113,0.18059107701051436,2023-04-07 18:41:19.041165,2023-04-07 18:41:23.552256,0 days 00:00:04.511091,0.4093672920265988,0.10378646720867478,0.3415375185665196,0.4858282456198874,288,20,213,0.6117791836071467,5.638725744296294,2.8166270513966336,COMPLETE
114,114,0.4680306905370844,2023-04-07 18:41:23.552635,2023-04-07 18:41:36.478719,0 days 00:00:12.926084,0.2782393599353146,0.05155994591453232,0.11924655050750217,0.5246499935210687,280,24,129,0.1150056047608683,4.723809514978659,3.272247243037308,COMPLETE
115,115,0.5462489343563512,2023-04-07 18:41:36.479106,2023-04-07 18:41:41.003581,0 days 00:00:04.524475,0.3745096636678423,0.0712068513161769,0.30901329911973585,0.4724520330832838,275,31,92,0.3652182001065737,5.015416510519244,3.7031304026140295,COMPLETE
116,116,0.47300369423131566,2023-04-07 18:41:41.003963,2023-04-07 18:41:48.663828,0 days 00:00:07.659865,0.35055159921080237,0.15482065160289765,0.1951899945991527,0.5605694559901285,273,16,120,0.9649284459600089,5.430401051479873,3.417902581920922,COMPLETE
117,117,0.5998863313441318,2023-04-07 18:41:48.664223,2023-04-07 18:41:57.217465,0 days 00:00:08.553242,0.4384761869473941,0.12888914540040616,0.16439759108285484,0.583934659182593,282,44,88,1.1673251668406104,5.235426633008566,3.920692312710321,COMPLETE
118,118,0.6046462063086104,2023-04-07 18:41:57.217849,2023-04-07 18:42:04.382802,0 days 00:00:07.164953,0.2991723605857001,0.21309786304960204,0.21894776040363267,0.5403587312363054,279,14,106,0.49588596738971724,6.509525577245309,2.7594682957031815,COMPLETE
119,119,0.45353793691389593,2023-04-07 18:42:04.383208,2023-04-07 18:42:09.293949,0 days 00:00:04.910741,0.2579006035019075,0.17973141995676756,0.2945433233550541,0.6223158979879383,283,25,138,0.6725194180067471,4.806087614466152,3.1118581279225217,COMPLETE
120,120,0.6290849673202614,2023-04-07 18:42:09.294336,2023-04-07 18:42:21.504332,0 days 00:00:12.209996,0.3606222541646263,0.10286505975395908,0.1263761625371289,0.5915564885008636,276,21,96,0.7908798382400946,5.87416965734446,2.487674476859571,COMPLETE
121,121,0.5900113668655868,2023-04-07 18:42:21.504729,2023-04-07 18:42:33.870956,0 days 00:00:12.366227,0.31540675200878737,0.09485243080583274,0.13101440151021343,0.5969542490939377,277,14,94,0.867935692123377,6.077417800441104,2.460656569407994,COMPLETE
122,122,0.4975845410628019,2023-04-07 18:42:33.871335,2023-04-07 18:42:42.850852,0 days 00:00:08.979517,0.35906200280237766,0.06171865871738455,0.16860731652248032,0.5107338647833933,271,20,82,0.31939499148982997,5.846994432060003,2.8720646128564247,COMPLETE
123,123,0.6388178459789713,2023-04-07 18:42:42.851256,2023-04-07 18:42:57.767179,0 days 00:00:14.915923,0.3895156940927507,0.11967610550389617,0.10140130818670746,0.577477854866613,276,29,99,1.230480234473091,5.59728577351328,2.5651445422948385,COMPLETE
124,124,0.6485507246376812,2023-04-07 18:42:57.767558,2023-04-07 18:43:12.549159,0 days 00:00:14.781601,0.39542534822230635,0.11356763064551686,0.10110493349238048,0.46142754026771104,274,29,99,0.7142408282779491,5.650547301682929,2.6418195953901886,COMPLETE
125,125,0.619281045751634,2023-04-07 18:43:12.549535,2023-04-07 18:43:27.120915,0 days 00:00:14.571380,0.3826322508211347,0.14616898603311812,0.10279043843143491,0.4700787836269274,275,30,107,0.6958879229196004,5.644344684727131,3.589452988384096,COMPLETE
126,126,0.5949843705598181,2023-04-07 18:43:27.121301,2023-04-07 18:43:39.993656,0 days 00:00:12.872355,0.3933520444678388,0.11003068852325626,0.1146900118183722,0.5584822295740877,272,29,115,0.998625342184563,6.045636957686338,2.7121307192518733,COMPLETE
127,127,0.6631145211707872,2023-04-07 18:43:39.994032,2023-04-07 18:43:55.028837,0 days 00:00:15.034805,0.4425153508322983,0.1697482069260767,0.10103649000948589,0.43945660305416434,274,28,97,0.5076625920851626,6.264000156647116,3.1842624648267774,COMPLETE
128,128,0.3461210571184996,2023-04-07 18:43:55.029213,2023-04-07 18:44:10.307127,0 days 00:00:15.277914,0.44185882762184076,0.1717491793562418,0.10192987849993243,0.44843544569759464,276,28,97,0.11128249220366498,6.548784694410208,3.2275437554700472,COMPLETE
129,129,0.5804916169366298,2023-04-07 18:44:10.307513,2023-04-07 18:44:22.491405,0 days 00:00:12.183892,0.36815680339012935,0.23355279061030731,0.12142007164856386,0.49535140955116963,274,32,126,0.4217898537105812,6.291513068417299,4.1928784606726435,COMPLETE
130,130,0.6337737993748224,2023-04-07 18:44:22.491802,2023-04-07 18:44:32.752442,0 days 00:00:10.260640,0.40988938628656324,0.20171980947806262,0.15042720922840702,0.42108542020001194,281,26,104,1.1543665184495562,5.8927518922396285,2.9494537490955413,COMPLETE
131,131,0.6288718385905087,2023-04-07 18:44:32.752826,2023-04-07 18:44:42.937217,0 days 00:00:10.184391,0.4018794682720332,0.18486179807397712,0.15037749887412827,0.4423599342400795,281,26,105,1.2222508038930824,5.922101515012473,2.979258671216079,COMPLETE
132,132,0.6288007956805911,2023-04-07 18:44:42.937612,2023-04-07 18:44:54.478443,0 days 00:00:11.540831,0.4555626508641092,0.19835635396238815,0.1354344502176862,0.41346210275667855,278,22,100,0.830918420946378,6.812003439326216,3.432470638694711,COMPLETE
133,133,0.5997442455242966,2023-04-07 18:44:54.478888,2023-04-07 18:45:09.386764,0 days 00:00:14.907876,0.42477262620198275,0.13186321829310566,0.10106697996592895,0.415303666597426,272,27,111,1.0683143072575518,6.363732106167315,2.6311052625799753,COMPLETE
134,134,0.5754475703324808,2023-04-07 18:45:09.387154,2023-04-07 18:45:18.506072,0 days 00:00:09.118918,0.47870835449275717,0.11338126687645099,0.1651098265500584,0.46558751120436087,280,28,121,0.5921070449979385,5.675578046258801,3.185070352270028,COMPLETE
135,135,0.5463910201761863,2023-04-07 18:45:18.506465,2023-04-07 18:45:28.960067,0 days 00:00:10.453602,0.4040316024702127,0.1622514552567337,0.14532594801932724,0.3983544291859,274,26,78,1.8540874139127277,6.139878539426876,1.9967299330260415,COMPLETE
136,136,0.6388888888888888,2023-04-07 18:45:28.960454,2023-04-07 18:45:36.561669,0 days 00:00:07.601215,0.34197286737715055,0.14257502964416516,0.19075942097675702,0.4981684061150773,276,29,97,0.31520187333790217,5.494854735068827,2.936614587260644,COMPLETE
137,137,0.6337737993748224,2023-04-07 18:45:36.562047,2023-04-07 18:45:42.367045,0 days 00:00:05.804998,0.3295228032201002,0.22589530824858775,0.24824978158618408,0.46849511957596407,278,29,104,0.40434102510394326,5.535420525620518,3.6297670976365355,COMPLETE
138,138,0.6192100028417163,2023-04-07 18:45:42.367438,2023-04-07 18:45:49.661518,0 days 00:00:07.294080,0.33062540564092824,0.20287266153881306,0.19980939201777445,0.49890475832501907,278,29,107,0.3055627542486523,5.458639331504202,3.813116673509668,COMPLETE
