,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
102,102,0.6777493606138107,2023-04-07 18:11:07.155486,2023-04-07 18:11:19.365365,0 days 00:00:12.209879,0.16465158641982924,0.8431363695195823,0.12305136115626175,0.5243391516458079,105,126.38064098558516,266,33,9.161722774319532,1.1917253405003265,COMPLETE
103,103,0.6680875248650184,2023-04-07 18:11:19.365764,2023-04-07 18:11:31.687423,0 days 00:00:12.321659,0.1523131360338622,0.8356792743358569,0.11846927499946101,0.5179589961871028,104,134.68098304094846,259,33,9.097757024720426,1.7649204594799484,COMPLETE
104,104,0.6826513213981245,2023-04-07 18:11:31.687811,2023-04-07 18:11:43.595529,0 days 00:00:11.907718,0.2105984255299627,0.836989641141042,0.12395345639603544,0.5123674909854259,102,124.87181047236848,260,33,9.085064406983632,1.782498766480761,COMPLETE
105,105,0.6437908496732025,2023-04-07 18:11:43.595919,2023-04-07 18:11:58.338970,0 days 00:00:14.743051,0.20682286602837352,0.807053043231943,0.10206454030137216,0.4935900366519055,112,61.56799903180118,265,32,9.288770788008053,1.9733198660480733,COMPLETE
106,106,0.6533816425120773,2023-04-07 18:11:58.339359,2023-04-07 18:12:10.299487,0 days 00:00:11.960128,0.2515255355004829,0.845581947203205,0.13922620539077823,0.5791649866795344,98,129.03035717023877,299,33,8.840815145429294,1.1250662958016762,COMPLETE
107,107,0.6486217675475987,2023-04-07 18:12:10.299880,2023-04-07 18:12:23.052317,0 days 00:00:12.752437,0.21710280092602485,0.9004819185196753,0.11909891825719561,0.4834097184788242,93,116.75563532732325,271,36,8.560786240468126,2.2885084622313423,COMPLETE
108,108,0.6582125603864735,2023-04-07 18:12:23.052717,2023-04-07 18:12:33.823212,0 days 00:00:10.770495,0.13229898011904936,0.8188417718024096,0.14126257801771802,0.5255562478029181,110,152.0184100686638,267,31,9.823965505810971,1.4895205097243722,COMPLETE
109,109,0.6194941744813867,2023-04-07 18:12:33.823601,2023-04-07 18:12:42.335162,0 days 00:00:08.511561,0.172827054934937,0.8829860731236642,0.16351171047867336,0.545913295298215,103,46.56936622943539,261,38,8.754142330600084,1.187944287751523,COMPLETE
110,110,0.48294970161977835,2023-04-07 18:12:42.335582,2023-04-07 18:12:54.646623,0 days 00:00:12.311041,0.28567648034139,0.7754105918184211,0.1256628106636433,0.43745076088007684,155,102.98075672128559,273,34,9.377304038820627,0.5027456548339233,COMPLETE
111,111,0.6729184427394146,2023-04-07 18:12:54.647200,2023-04-07 18:13:06.575499,0 days 00:00:11.928299,0.15549820765916453,0.8330400806873605,0.12099854174426306,0.5108585944906314,105,134.4827571276807,257,33,9.048082973323627,1.694721519761928,COMPLETE
112,112,0.6388888888888888,2023-04-07 18:13:06.575898,2023-04-07 18:13:20.881454,0 days 00:00:14.305556,0.17529346020901426,0.9261052230973491,0.10087736481411214,0.5058077897675335,108,64.22409594490094,256,32,9.12420053855362,1.6969244346032293,COMPLETE
113,113,0.6533105996021596,2023-04-07 18:13:20.881840,2023-04-07 18:13:30.709207,0 days 00:00:09.827367,0.21428573261774306,0.8475940787836185,0.142468678226086,0.47283992383941265,99,191.3113223674041,257,35,8.951093886043193,2.179940004570735,COMPLETE
114,114,0.6290849673202614,2023-04-07 18:13:30.709597,2023-04-07 18:13:43.041971,0 days 00:00:12.332374,0.2424721310640234,0.7930714840869354,0.12183369600667344,0.4569963629388468,123,140.16403482460981,266,33,8.337730123880487,1.9720908912609088,COMPLETE
115,115,0.629156010230179,2023-04-07 18:13:43.042358,2023-04-07 18:13:52.062605,0 days 00:00:09.020247,0.20060312428653793,0.8961175621399065,0.16278214430924132,0.5609959227074238,89,110.34768456590197,263,30,9.626372946612092,0.9087992421962285,COMPLETE
116,116,0.6290849673202614,2023-04-07 18:13:52.062985,2023-04-07 18:14:07.348859,0 days 00:00:15.285874,0.10768043237353779,0.8263227504991998,0.10006212636376774,0.5138626051978294,119,167.81461505181446,269,31,9.989370724050397,2.502218869159698,COMPLETE
117,117,0.6535947712418301,2023-04-07 18:14:07.349243,2023-04-07 18:14:18.141645,0 days 00:00:10.792402,0.13830416643591004,0.8715426165894666,0.13436646727835855,0.6046292156218724,96,77.40867530222593,258,35,9.19403769221454,1.4681108372901421,COMPLETE
118,118,0.3805058255186133,2023-04-07 18:14:18.142059,2023-04-07 18:14:27.052468,0 days 00:00:08.910409,0.07689143270658234,0.9184721949030258,0.15522382694337863,0.5846727406216771,112,20.187916860755735,254,34,8.666393242070104,1.2707164574234282,COMPLETE
119,119,0.6387468030690537,2023-04-07 18:14:27.052864,2023-04-07 18:14:35.355995,0 days 00:00:08.303131,0.1697308026338134,0.9753302275661234,0.18253437440604342,0.4848687920747218,106,218.1189179109578,275,32,8.06265969836268,1.666910053180604,COMPLETE
120,120,0.5217391304347826,2023-04-07 18:14:35.356544,2023-04-07 18:14:48.144517,0 days 00:00:12.787973,0.2688471276405617,0.9431866480666374,0.12257231974336687,0.5354245499187067,128,40.12002303707882,271,29,9.470314169899911,2.675585553785937,COMPLETE
121,121,0.6826513213981245,2023-04-07 18:14:48.144917,2023-04-07 18:15:00.390923,0 days 00:00:12.246006,0.14803453388083962,0.8405911848319769,0.12019976914609576,0.5376187807320535,102,127.52090926942834,259,33,9.088503006672475,1.7455854606121972,COMPLETE
122,122,0.658283603296391,2023-04-07 18:15:00.391321,2023-04-07 18:15:09.981631,0 days 00:00:09.590310,0.15506185102877973,0.8062731757099116,0.14082246709504095,0.5317538559735034,101,131.58775297561476,251,36,8.919663198341281,1.8094296760671567,COMPLETE
123,123,0.6631855640807047,2023-04-07 18:15:09.982033,2023-04-07 18:15:18.722655,0 days 00:00:08.740622,0.18695111404755643,0.8549968529175327,0.16489753049035333,0.5613404742677667,107,92.73006096637944,261,33,9.736811506516531,0.929534984233578,COMPLETE
124,124,0.31727763569195794,2023-04-07 18:15:18.723052,2023-04-07 18:15:31.469496,0 days 00:00:12.746444,0.12056912643695825,0.8857650904385079,0.11845271742765154,0.5134479786111663,181,149.23207969682542,263,31,9.282697767755968,2.1742519374329516,COMPLETE
125,125,0.6485507246376812,2023-04-07 18:15:31.469894,2023-04-07 18:15:41.516121,0 days 00:00:10.046227,0.22531385643838975,0.7687903914208604,0.13890394581786683,0.42969239181976293,111,116.28133615136073,255,32,8.363764714573204,1.181671045240167,COMPLETE
126,126,0.6340579710144928,2023-04-07 18:15:41.516516,2023-04-07 18:15:48.668759,0 days 00:00:07.152243,0.14619022790435518,0.830992546917689,0.19796522281036127,0.4622714895427484,93,68.54678694371701,260,34,9.098042831781159,0.6766939829328167,COMPLETE
127,127,0.6729184427394146,2023-04-07 18:15:48.669145,2023-04-07 18:15:57.802020,0 days 00:00:09.132875,0.0895850296176402,0.8998286812127433,0.1704980403458129,0.49851369153305425,103,177.12585192557356,278,30,8.690867014377297,1.4816500451255505,COMPLETE
128,128,0.6680875248650184,2023-04-07 18:15:57.802410,2023-04-07 18:16:06.436210,0 days 00:00:08.633800,0.08357559747120395,0.8611601485910055,0.1793701950400272,0.503516561965269,101,181.9047317758989,278,30,9.41795578649399,1.561021692596565,COMPLETE
129,129,0.6145922136970731,2023-04-07 18:16:06.436601,2023-04-07 18:16:15.876516,0 days 00:00:09.439915,0.19638621318742444,0.9555168267069898,0.1661575132036666,0.5706947357340133,88,92.60610042405233,278,28,9.787183990928812,2.351355566857993,COMPLETE
130,130,0.6388178459789713,2023-04-07 18:16:15.876929,2023-04-07 18:16:25.852077,0 days 00:00:09.975148,0.24018101961451904,0.896622498794584,0.15247306632703353,0.6333250452308544,116,124.33273354701922,274,33,9.558802911536363,1.9755319787900532,COMPLETE
131,131,0.6729184427394146,2023-04-07 18:16:25.852468,2023-04-07 18:16:41.112732,0 days 00:00:15.260264,0.10937512088037105,0.9344537682727806,0.10142689403666064,0.5501470637068315,105,160.84545491931968,272,31,8.564703817904032,1.4145364333912287,COMPLETE
132,132,0.6826513213981245,2023-04-07 18:16:41.113115,2023-04-07 18:16:52.052180,0 days 00:00:10.939065,0.12726593336479708,0.9306159400183444,0.12484244410074984,0.552309534336395,103,202.60800590679284,242,31,8.76939412490589,0.9982039527392578,COMPLETE
133,133,0.6631145211707872,2023-04-07 18:16:52.052591,2023-04-07 18:17:02.773426,0 days 00:00:10.720835,0.11317290218401865,0.9201877637297935,0.13071732442881212,0.5454355362928873,98,201.41362430263632,243,29,8.96069132962558,1.04549672791194,COMPLETE
134,134,0.6874822392725206,2023-04-07 18:17:02.773813,2023-04-07 18:17:13.724464,0 days 00:00:10.950651,0.1345143997467248,0.8814850388502914,0.12268698378946513,0.5988997457337921,103,167.17731855023132,242,30,7.882306539386194,0.796473868269906,COMPLETE
135,135,0.6436487638533674,2023-04-07 18:17:13.724853,2023-04-07 18:17:25.364947,0 days 00:00:11.640094,0.09410900081694099,0.8784036929025402,0.11679469373990227,0.6033891669072138,94,228.18748570164635,241,30,8.494299912268467,0.8464988213339457,COMPLETE
136,136,0.6923131571469167,2023-04-07 18:17:25.365340,2023-04-07 18:17:37.366570,0 days 00:00:12.001230,0.1655031365791798,0.818744793811325,0.11396763522512372,0.6436529422706607,103,168.4441325183904,241,27,7.869485742578531,0.6590094953697105,COMPLETE
137,137,0.5996021597044615,2023-04-07 18:17:37.366986,2023-04-07 18:17:40.006645,0 days 00:00:02.639659,0.16179594247496887,0.7863724353802574,0.5178371004579922,0.6491201356522153,101,173.1676318307097,242,24,7.930308514595841,0.6335083289073177,COMPLETE
138,138,0.6289428815004263,2023-04-07 18:17:40.007030,2023-04-07 18:17:46.079373,0 days 00:00:06.072343,0.13921438849979748,0.8152380970011011,0.22487916529642574,0.5850083745272022,111,262.13563010014667,246,29,8.277496590117924,0.7022438873331698,COMPLETE
139,139,0.6145922136970731,2023-04-07 18:17:46.079759,2023-04-07 18:17:53.798764,0 days 00:00:07.719005,0.06352772130624476,0.8405199044619098,0.17523867338700277,0.6129735189726814,85,197.40089803792392,244,27,7.652327512365713,0.8914801526504184,COMPLETE
140,140,0.5950554134697358,2023-04-07 18:17:53.799182,2023-04-07 18:18:00.673583,0 days 00:00:06.874401,0.1714042247656439,0.8500267137590808,0.1952161983066714,0.6880705808805292,80,212.1781195855964,241,28,7.871118330055071,0.51705063201375,COMPLETE
141,141,0.6875532821824382,2023-04-07 18:18:00.673976,2023-04-07 18:18:13.804788,0 days 00:00:13.130812,0.1047329585973989,0.9354795367931288,0.10465754473900385,0.491629994255942,103,163.87226965040344,242,31,8.872049754717045,1.4177081404814584,COMPLETE
142,142,0.6486928104575164,2023-04-07 18:18:13.805181,2023-04-07 18:18:25.273188,0 days 00:00:11.468007,0.08354284027786626,0.7555126826991081,0.12074899311833309,0.4903907113248816,97,105.60469238384175,242,27,9.157565685705366,0.9606515258675437,COMPLETE
143,143,0.6583546462063086,2023-04-07 18:18:25.273582,2023-04-07 18:18:34.004133,0 days 00:00:08.730551,0.04226117949203687,0.8703542666113708,0.1532495942154301,0.477928079265084,114,151.38469156948923,245,31,8.114356597749438,1.212322186795196,COMPLETE
144,144,0.6679454390451833,2023-04-07 18:18:34.004541,2023-04-07 18:18:45.883245,0 days 00:00:11.878704,0.1341121952919185,0.8033228051337623,0.11819653218447661,0.45293509435112433,103,181.36840049070815,248,30,8.85924904763851,0.7466886817787088,COMPLETE
145,145,0.6486928104575163,2023-04-07 18:18:45.883654,2023-04-07 18:18:59.161273,0 days 00:00:13.277619,0.15604583699943805,0.9987583945228246,0.10073857087944006,0.6237493142088404,91,234.70055022511457,240,32,7.483453116390913,1.0726199176579625,COMPLETE
146,146,0.6338448422847399,2023-04-07 18:18:59.161672,2023-04-07 18:19:02.313646,0 days 00:00:03.151974,0.18883960863912455,0.8894411240169888,0.4105975271672583,0.49882625719755086,118,287.2987114520861,241,30,5.872035080043544,1.7242776530001331,COMPLETE
147,147,0.01946575731741972,2023-04-07 18:19:02.314049,2023-04-07 18:19:11.407961,0 days 00:00:09.093912,0.11645075042112243,0.8299199712904464,0.14868077747249614,0.4332132096518273,245,80.63747213632064,244,31,8.711959118678871,1.5170503606008248,COMPLETE
148,148,0.6484086388178459,2023-04-07 18:19:11.408353,2023-04-07 18:19:21.455472,0 days 00:00:10.047119,0.0669712577157385,0.9692307364065762,0.13487423276944976,0.5681121648747417,98,142.31934957437463,242,33,9.350948926971467,1.3397494934509027,COMPLETE
149,149,0.6292270531400965,2023-04-07 18:19:21.455884,2023-04-07 18:19:33.340173,0 days 00:00:11.884289,0.022868075374239044,0.9134717564058155,0.12021770665467632,0.5885641146335887,103,53.28093374275137,280,48,6.743554218754364,3.0499276236633808,COMPLETE
150,150,0.6533816425120773,2023-04-07 18:19:33.340584,2023-04-07 18:19:41.373798,0 days 00:00:08.033214,0.09646220938293837,0.8691534144724885,0.171512938130583,0.4682570477939828,109,105.88922411130082,247,29,9.133271971492338,0.8414875134524613,COMPLETE
151,151,0.6778204035237284,2023-04-07 18:19:41.374193,2023-04-07 18:19:54.529915,0 days 00:00:13.155722,0.11371795581637924,0.930564081838889,0.10378488658626764,0.521669655673658,105,158.3948559418941,242,31,8.595856288859007,1.4102193926133102,COMPLETE
152,152,0.6729894856493321,2023-04-07 18:19:54.530473,2023-04-07 18:20:08.404950,0 days 00:00:13.874477,0.14374628562999958,0.9480332480108352,0.1001399789666848,0.5151380148285865,109,160.60382722576077,245,30,8.39886820136174,0.5081668967927714,COMPLETE
153,153,0.6680875248650184,2023-04-07 18:20:08.405387,2023-04-07 18:20:21.949694,0 days 00:00:13.544307,0.17635313069868272,0.9390024268880572,0.10199813040157624,0.521638054557027,114,161.51941490343847,243,28,8.372652507180938,0.504613964707,COMPLETE
