,number,value,datetime_start,datetime_complete,duration,params_max_bpm,params_min_bpm,params_time_window,state
164,164,0.20453253765274226,2023-04-07 06:26:46.726240,2023-04-07 06:27:41.534571,0 days 00:00:54.808331,289,25,10,COMPLETE
165,165,0.19494174481386758,2023-04-07 06:27:41.534890,2023-04-07 06:28:36.973179,0 days 00:00:55.438289,283,29,5,COMPLETE
166,166,0.21419437340153455,2023-04-07 06:28:36.973514,2023-04-07 06:29:31.146649,0 days 00:00:54.173135,285,26,10,COMPLETE
167,167,0.21483375959079284,2023-04-07 06:29:31.147130,2023-04-07 06:30:27.898069,0 days 00:00:56.750939,279,27,3,COMPLETE
168,168,0.19977266268826374,2023-04-07 06:30:27.898384,2023-04-07 06:31:23.910455,0 days 00:00:56.012071,280,27,3,COMPLETE
169,169,0.17547598749644788,2023-04-07 06:31:23.910819,2023-04-07 06:32:19.428039,0 days 00:00:55.517220,288,25,3,COMPLETE
170,170,0.19011082693947146,2023-04-07 06:32:19.428371,2023-04-07 06:33:16.071670,0 days 00:00:56.643299,282,28,3,COMPLETE
171,171,0.19977266268826374,2023-04-07 06:33:16.072014,2023-04-07 06:34:12.878607,0 days 00:00:56.806593,277,24,3,COMPLETE
172,172,0.19011082693947146,2023-04-07 06:34:12.878914,2023-04-07 06:35:07.645184,0 days 00:00:54.766270,279,23,9,COMPLETE
173,173,0.20453253765274226,2023-04-07 06:35:07.645663,2023-04-07 06:36:05.336453,0 days 00:00:57.690790,284,26,2,COMPLETE
174,174,0.19494174481386758,2023-04-07 06:36:05.336779,2023-04-07 06:37:00.812342,0 days 00:00:55.475563,281,27,5,COMPLETE
175,175,0.19472861608411476,2023-04-07 06:37:00.812662,2023-04-07 06:37:57.107325,0 days 00:00:56.294663,286,24,4,COMPLETE
176,176,0.19977266268826374,2023-04-07 06:37:57.107638,2023-04-07 06:38:54.991043,0 days 00:00:57.883405,278,25,3,COMPLETE
177,177,0.07310315430520035,2023-04-07 06:38:54.991356,2023-04-07 06:39:50.357146,0 days 00:00:55.365790,181,22,4,COMPLETE
178,178,0.20474566638249503,2023-04-07 06:39:50.357453,2023-04-07 06:40:46.182105,0 days 00:00:55.824652,276,28,5,COMPLETE
179,179,0.21469167377095766,2023-04-07 06:40:46.182616,2023-04-07 06:41:37.897493,0 days 00:00:51.714877,282,27,7,COMPLETE
180,180,0.16609832338732597,2023-04-07 06:41:37.897807,2023-04-07 06:42:33.575704,0 days 00:00:55.677897,287,44,4,COMPLETE
181,181,0.21469167377095766,2023-04-07 06:42:33.576011,2023-04-07 06:43:28.973485,0 days 00:00:55.397474,275,23,4,COMPLETE
182,182,0.17036089798238138,2023-04-07 06:43:28.973795,2023-04-07 06:44:25.516987,0 days 00:00:56.543192,273,22,4,COMPLETE
183,183,0.19963057686842853,2023-04-07 06:44:25.517312,2023-04-07 06:45:22.226927,0 days 00:00:56.709615,279,20,4,COMPLETE
184,184,0.21483375959079284,2023-04-07 06:45:22.227234,2023-04-07 06:46:18.849042,0 days 00:00:56.621808,284,32,3,COMPLETE
185,185,0.21483375959079284,2023-04-07 06:46:18.849509,2023-04-07 06:47:15.453402,0 days 00:00:56.603893,285,33,3,COMPLETE
186,186,0.17547598749644788,2023-04-07 06:47:15.453713,2023-04-07 06:48:11.914661,0 days 00:00:56.460948,291,34,3,COMPLETE
187,187,0.19977266268826374,2023-04-07 06:48:11.915009,2023-04-07 06:49:08.308616,0 days 00:00:56.393607,285,32,3,COMPLETE
188,188,0.1997016197783461,2023-04-07 06:49:08.308935,2023-04-07 06:50:05.511775,0 days 00:00:57.202840,289,33,3,COMPLETE
189,189,0.10727479397556124,2023-04-07 06:50:05.512112,2023-04-07 06:51:02.912839,0 days 00:00:57.400727,230,34,2,COMPLETE
190,190,0.21483375959079284,2023-04-07 06:51:02.913175,2023-04-07 06:51:59.375700,0 days 00:00:56.462525,283,31,3,COMPLETE
191,191,0.21483375959079284,2023-04-07 06:51:59.376191,2023-04-07 06:52:56.204590,0 days 00:00:56.828399,283,31,3,COMPLETE
192,192,0.19977266268826374,2023-04-07 06:52:56.204912,2023-04-07 06:53:52.673920,0 days 00:00:56.469008,284,31,3,COMPLETE
193,193,0.21483375959079284,2023-04-07 06:53:52.674231,2023-04-07 06:54:48.233123,0 days 00:00:55.558892,283,31,3,COMPLETE
