,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma,params_max_bpm,params_min_bpm,params_time_window,state
120,120,0.17043194089229896,2023-04-07 21:45:59.108748,2023-04-07 21:46:51.632461,0 days 00:00:52.523713,0.17020363721589354,0.9483178858108571,0.700781939242875,274,19,5,COMPLETE
121,121,0.17533390167661267,2023-04-07 21:46:51.632969,2023-04-07 21:47:43.017618,0 days 00:00:51.384649,0.18823869669208793,0.8386792390649043,0.5232822160472639,278,28,6,COMPLETE
122,122,0.15096618357487923,2023-04-07 21:47:43.017979,2023-04-07 21:48:38.342079,0 days 00:00:55.324100,0.20575673363083838,0.8142311724671834,0.6433992945468835,289,23,8,COMPLETE
123,123,0.1510372264847968,2023-04-07 21:48:38.342400,2023-04-07 21:49:34.079385,0 days 00:00:55.736985,0.2412263146121208,0.7964831550521145,0.5990139339001954,272,21,6,COMPLETE
124,124,0.16567206592782044,2023-04-07 21:49:34.079723,2023-04-07 21:50:31.173717,0 days 00:00:57.093994,0.27329336494245465,0.7235762360083086,0.5649428474590553,281,18,2,COMPLETE
125,125,0.15593918726911057,2023-04-07 21:50:31.174054,2023-04-07 21:51:23.922692,0 days 00:00:52.748638,0.07713000318549601,0.9305022772379574,0.6817665084300908,276,31,3,COMPLETE
126,126,0.18996874111963627,2023-04-07 21:51:23.923030,2023-04-07 21:52:19.227792,0 days 00:00:55.304762,0.1352941998579857,0.5976792654309417,0.5363010965916118,265,17,7,COMPLETE
127,127,0.13185564080704745,2023-04-07 21:52:19.228262,2023-04-07 21:53:15.169828,0 days 00:00:55.941566,0.023513360425259616,0.5623309425178886,0.5415066575281728,248,17,7,COMPLETE
128,128,0.14634839443023584,2023-04-07 21:53:15.170163,2023-04-07 21:54:11.330399,0 days 00:00:56.160236,0.12971483701572567,0.9777299258005473,0.6301924421799611,260,16,4,COMPLETE
129,129,0.16552998010798523,2023-04-07 21:54:11.330758,2023-04-07 21:55:06.840237,0 days 00:00:55.509479,0.09459827874995302,0.6416714142570356,0.6086426278259852,264,15,7,COMPLETE
130,130,0.18499573742540495,2023-04-07 21:55:06.840598,2023-04-07 21:56:00.221667,0 days 00:00:53.381069,0.043880738269192476,0.5932851992569682,0.7210305709688003,268,18,3,COMPLETE
131,131,0.17050298380221654,2023-04-07 21:56:00.221998,2023-04-07 21:56:57.173192,0 days 00:00:56.951194,0.06331109132472312,0.5998059337966128,0.7520398613810938,266,18,3,COMPLETE
132,132,0.1606990622335891,2023-04-07 21:56:57.173523,2023-04-07 21:57:54.368484,0 days 00:00:57.194961,0.044695332047758926,0.5474131269072747,0.6552103978050948,269,17,3,COMPLETE
133,133,0.16077010514350668,2023-04-07 21:57:54.368964,2023-04-07 21:58:51.261965,0 days 00:00:56.893001,0.1130724490739162,0.6194176585487915,0.7233482384530504,271,20,3,COMPLETE
134,134,0.16545893719806765,2023-04-07 21:58:51.262306,2023-04-07 21:59:47.504891,0 days 00:00:56.242585,0.13737739969775284,0.5949958909879459,0.679310066504157,264,18,4,COMPLETE
135,135,0.14158851946575732,2023-04-07 21:59:47.505245,2023-04-07 22:00:44.570780,0 days 00:00:57.065535,0.044765083139457526,0.6186972293988428,0.7136841477572772,255,19,2,COMPLETE
136,136,0.16574310883773802,2023-04-07 22:00:44.571101,2023-04-07 22:01:41.294389,0 days 00:00:56.723288,0.15810462837177583,0.6583232308951945,0.5855182042010965,267,16,5,COMPLETE
137,137,0.1605569764137539,2023-04-07 22:01:41.294754,2023-04-07 22:02:38.330918,0 days 00:00:57.036164,0.02039092711178625,0.5691602360314822,0.6455139272780268,274,17,3,COMPLETE
138,138,0.17043194089229896,2023-04-07 22:02:38.331247,2023-04-07 22:03:35.062937,0 days 00:00:56.731690,0.07153865650457907,0.9078081821096796,0.7851372321886311,283,35,4,COMPLETE
